VirusGENBANKaccession,Virus GENBANK accession,Virus name(s),Host source,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
U83594,U83594,Ovis aries papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 3
U83595,U83595,Ovis aries papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 3
X02346,X02346,Bos taurus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4
JX174437,JX174437,Bos grunniens papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4
M20219,M20219,Bos taurus papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4
JQ798171,JQ798171,Bos taurus papillomavirus 13,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4
KP276343,KP276343,Bos taurus papillomavirus 14,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 4
EF680235,EF680235,Capreolus capreolus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 5
KT626573,KT626573,Rusa alfredi papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 5
HQ912790,HQ912790,Camelus dromedarius papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 6
HQ912791,HQ912791,Camelus dromedarius papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 6
KX954132,KX954132,Giraffa camelopardalis papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,,Deltapapillomavirus 7
KF741371,KF741371,Equus asinus papillomavirus,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyochipapillomavirus,,Dyochipapillomavirus 1
EF395818,EF395818,Sus scrofa papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyodeltapapillomavirus,,Dyodeltapapillomavirus 1
EU188799,EU188799,Francolinus leucoscepus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoepsilonpapillomavirus,,Dyoepsilonpapillomavirus 1
FJ379293,FJ379293,Erinaceus europaeus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoetapapillomavirus,,Dyoetapapillomavirus 1
EU503122,EU503122,Equus caballus papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoiotapapillomavirus,,Dyoiotapapillomavirus 1
JQ031032,JQ031032,Equus caballus papillomavirus 4,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoiotapapillomavirus,,Dyoiotapapillomavirus 2
JQ031033,JQ031033,Equus caballus papillomavirus 5,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoiotapapillomavirus,,Dyoiotapapillomavirus 2
FJ796965,FJ796965,Ovis aries papillomavirus 3,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyokappapapillomavirus,,Dyokappapapillomavirus 1
KC876045,KC876045,Rupicapra rupicapra papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyokappapapillomavirus,,Dyokappapapillomavirus 2
KU519391,KU519391,Bos taurus papillomavirus 16,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyokappapapillomavirus,,Dyokappapapillomavirus 3
KU519393,KU519393,Bos taurus papillomavirus 18,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyokappapapillomavirus,,Dyokappapapillomavirus 4
KT932713,KT932713,Pudu puda papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyokappapapillomavirus,,Dyokappapapillomavirus 5
GU220391,GU220391,Bettongia penicillata papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyolambdapapillomavirus,,Dyolambdapapillomavirus 1
HQ262535,HQ262535,Morelia spilota papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyomupapillomavirus,,Dyomupapillomavirus 1
HQ293213,HQ293213,Zalophus californianus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyonupapillomavirus,,Dyonupapillomavirus 1
KC858264,KC858264,Eptesicus serotinus papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoomegapapillomavirus,,Dyoomegapapillomavirus 1
JF304765,JF304765,Saimiri sciureus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoomikronpapillomavirus,,Dyoomikronpapillomavirus 1
KP861980,KP861980,Alouatta guariba papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoomikronpapillomavirus,,Dyoomikronpapillomavirus 1
JF304766,JF304766,Saimiri sciureus papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoomikronpapillomavirus,,Dyoomikronpapillomavirus 1
JF304767,JF304767,Saimiri sciureus papillomavirus 3,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoomikronpapillomavirus,,Dyoomikronpapillomavirus 1
KC460987,KC460987,Talpa europaea papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyophipapillomavirus,,Dyophipapillomavirus 1
GU117623,GU117623,Phocoena phocoena papillomavirus,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyopipapillomavirus,,Dyopipapillomavirus 1
KC858263,KC858263,Eptesicus serotinus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyopsipapillomavirus,,Dyopsipapillomavirus 1
KC858265,KC858265,Eptesicus serotinus papillomavirus 3,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyopsipapillomavirus,,Dyopsipapillomavirus 1
GU384895,GU384895,Equus caballus papillomavirus 3,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyorhopapillomavirus,,Dyorhopapillomavirus 1
JQ965698,JQ965698,Equus caballus papillomavirus 6,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyorhopapillomavirus,,Dyorhopapillomavirus 1
JX035935,JX035935,Equus caballus papillomavirus 7,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyorhopapillomavirus,,Dyorhopapillomavirus 1
KC020689,KC020689,Castor canadensis papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyosigmapapillomavirus,,Dyosigmapapillomavirus 1
JQ692938,JQ692938,Miniopterus schreibersii papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyotaupapillomavirus,,Dyotaupapillomavirus 1
EU796884,EU796884,Felis domesticus papillomavirus 2,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyothetapapillomavirus,,Dyothetapapillomavirus 1
JX123128,JX123128,Eidolon helvum papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoupsilonpapillomavirus,,Dyoupsilonpapillomavirus 1
DQ217793,DQ217793,Bos taurus papillomavirus 7,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoxipapillomavirus,,Dyoxipapillomavirus 1
KU519394,KU519394,Bos taurus papillomavirus 19,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoxipapillomavirus,,Dyoxipapillomavirus 2
KU519396,KU519396,Bos taurus papillomavirus 21,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyoxipapillomavirus,,Dyoxipapillomavirus 2
EU493092,EU493092,Caretta caretta papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyozetapapillomavirus,,Dyozetapapillomavirus 1
EU493091,EU493091,Chelonia mydas papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Dyozetapapillomavirus,,Dyozetapapillomavirus 1
AF457465,AF457465,Bos taurus papillomavirus 5,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Epsilonpapillomavirus,,Epsilonpapillomavirus 1
DQ098913,DQ098913,Bos taurus papillomavirus 8,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Epsilonpapillomavirus,,Epsilonpapillomavirus 1
KU350625,KU350625,Cervus elaphus papillomavirus 1,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Epsilonpapillomavirus,,Epsilonpapillomavirus 2
AY057109,AY057109,Fringilla coelebs papillomavirus,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Etapapillomavirus,,Etapapillomavirus 1
X70827,X70827,human papillomavirus 4,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 1
X70829,X70829,human papillomavirus 65,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 1
AJ620210,AJ620210,human papillomavirus 95,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 1
KF006400,KF006400,human papillomavirus 173,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 1
KT698167,KT698167,human papillomavirus 205,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 1
U31789,U31789,human papillomavirus 48,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 2
KP692114,KP692114,human papillomavirus 200,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 2
U31790,U31790,human papillomavirus 50,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 3
U31792,U31792,human papillomavirus 60,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 4
EF467176,EF467176,human papillomavirus 88,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 5
DQ080081,DQ080081,human papillomavirus 101,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 6
DQ080078,DQ080078,human papillomavirus 103,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 6
FM212639,FM212639,human papillomavirus 108,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 6
EU541441,EU541441,human papillomavirus 109,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
GQ845445,GQ845445,human papillomavirus 123,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
GU117634,GU117634,human papillomavirus 134,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
HM999990,HM999990,human papillomavirus 138,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
HM999991,HM999991,human papillomavirus 139,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
GU117629,GU117629,human papillomavirus 149,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
JF906559,JF906559,human papillomavirus 155,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
JX413110,JX413110,human papillomavirus 170,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 7
EU541442,EU541442,human papillomavirus 112,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 8
GQ845441,GQ845441,human papillomavirus 119,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 8
HM999999,HM999999,human papillomavirus 147,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 8
JX413106,JX413106,human papillomavirus 164,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 8
KC862317,KC862317,human papillomavirus 168,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 8
FJ804072,FJ804072,human papillomavirus 116,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 9
GU233853,GU233853,human papillomavirus 129,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 9
GQ845443,GQ845443,human papillomavirus 121,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 10
GU117630,GU117630,human papillomavirus 130,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 10
GU117633,GU117633,human papillomavirus 133,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 10
HM999994,HM999994,human papillomavirus 142,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 10
KC108722,KC108722,human papillomavirus 180,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 10
AB646346,AB646346,human papillomavirus 126,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
HM999988,HM999988,human papillomavirus 136,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
HM999992,HM999992,human papillomavirus 140,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
HM999993,HM999993,human papillomavirus 141,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
JN211193,JN211193,human papillomavirus 154,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
JX413105,JX413105,human papillomavirus 169,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
KF006398,KF006398,human papillomavirus 171,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
KP692116,KP692116,human papillomavirus 202,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 11
HM011570,HM011570,human papillomavirus 127,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
GU117632,GU117632,human papillomavirus 132,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
GU129016,GU129016,human papillomavirus 148,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
KT698166,KT698166,human papillomavirus 157,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
KT698168,KT698168,human papillomavirus 158,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
JX444072,JX444072,human papillomavirus 165,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
KJ913662,KJ913662,human papillomavirus 199,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 12
GU225708,GU225708,human papillomavirus 128,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 13
JN171845,JN171845,human papillomavirus 153,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 13
GU117631,GU117631,human papillomavirus 131,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 14
HM999987,HM999987,human papillomavirus 135,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 15
HM999998,HM999998,human papillomavirus 146,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 15
HG421739,HG421739,human papillomavirus 179,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 15
HM999989,HM999989,human papillomavirus 137,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 16
HM999996,HM999996,human papillomavirus 144,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 17
JX429973,JX429973,human papillomavirus 156,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 18
JX413109,JX413109,human papillomavirus 161,vertebrates,Monodnaviria,,Shotokuvirae,,Cossaviricota,,Papovaviricetes,,Zurhausenvirales,,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,,Gammapapillomavirus 19
